iter	RMSE
695	2.17348902
696	2.16987001
697	2.169830148
698	2.168996062
699	2.168946721
700	2.167079607
701	2.163911304
702	2.162191968
703	2.158932933
704	2.15833785
705	2.157851443
706	2.154543586
707	2.150381444
708	2.144869419
709	2.141386229
710	2.141160802
711	2.137346218
712	2.133284627
713	2.132374605
714	2.131489771
715	2.130777503
716	2.128083501
717	2.127321996
718	2.126563266
719	2.125482309
720	2.123417851
721	2.11744785
722	2.117129474
723	2.111520318
724	2.110521652
725	2.106359864
726	2.102109004
727	2.101314778
728	2.100314135
729	2.097232264
730	2.096187672
731	2.096093961
732	2.092292702
733	2.087953885
734	2.087180975
735	2.084778014
736	2.082409484
737	2.082367832
738	2.082255269
739	2.080326362
740	2.078984675
741	2.076099775
742	2.071543933
743	2.066186114
744	2.065799289
745	2.062317622
746	2.060318914
747	2.059155017
748	2.055481453
749	2.054031177
750	2.051587276
751	2.047943677
752	2.046592983
753	2.043525863
754	2.042919681
755	2.039830917
756	2.03854781
757	2.036955336
758	2.036612874
759	2.035163241
760	2.030167403
761	2.028591798
762	2.027767244
763	2.022520337
764	2.020976179
765	2.019068388
766	2.014486218
767	2.011423248
768	2.010603648
769	2.009566822
770	2.00911858
771	2.008872174
772	2.005208767
773	2.000768006
774	1.998293369
775	1.99775995
776	1.996564935
777	1.994619102
778	1.992304754
779	1.991527213
780	1.990601261
781	1.989989146
782	1.988567113
783	1.985647224
784	1.985285534
785	1.982320878
786	1.9792318
787	1.977194948
788	1.977166745
789	1.976307477
790	1.9725846
791	1.972109828
792	1.970875238
793	1.970720469
794	1.968726648
795	1.965204892
796	1.964817598
797	1.963535653
798	1.962921961
799	1.961791303
800	1.959707436
801	1.958933217
802	1.956266505
803	1.956134868
804	1.954783798
805	1.953707378
806	1.949504823
807	1.948925761
808	1.94753788
809	1.946853188
810	1.944064373
811	1.942244763
812	1.941365418
813	1.935672243
814	1.933897873
815	1.933754267
816	1.933378711
817	1.929930207
818	1.928936524
819	1.925950106
820	1.925243241
821	1.922322434
822	1.919498347
823	1.919028195
824	1.917096282
825	1.914235127
826	1.912814795
827	1.907072805
828	1.904759558
829	1.902697582
830	1.900893626
831	1.899659774
832	1.898705775
833	1.897026132
834	1.894765746
835	1.893852021
836	1.891154809
837	1.891049674
838	1.887775585
839	1.88486814
840	1.879662886
841	1.876342807
842	1.872404192
843	1.871124806
844	1.86965606
845	1.868845211
846	1.86791341
847	1.866995533
848	1.8669521
849	1.863712638
850	1.859360339
851	1.856026286
852	1.855230696
853	1.853508749
854	1.852850607
855	1.850722241
856	1.847706404
857	1.846870508
858	1.842223743
859	1.840603239
860	1.838831931
861	1.834913029
862	1.833823897
863	1.832637948
864	1.831457409
865	1.827851033
866	1.827613854
867	1.825716397
868	1.824825283
869	1.821831706
870	1.821051917
871	1.820156317
872	1.817525656
873	1.814754927
874	1.812469995
875	1.811183714
876	1.808931501
877	1.806737636
878	1.80571676
879	1.804792859
880	1.800802972
881	1.797829313
882	1.796989555
883	1.79422977
884	1.791760105
885	1.791146155
886	1.788920201
887	1.78606923
888	1.785042596
889	1.782890541
890	1.78188439
891	1.781790089
892	1.781603083
893	1.780644486
894	1.780199675
895	1.779311703
896	1.775627695
897	1.77372601
898	1.77234506
899	1.771396785
900	1.76914647
901	1.766887078
902	1.763751893
903	1.762188024
904	1.760031797
905	1.755632521
906	1.754226757
907	1.753766069
908	1.749120949
909	1.748834413
910	1.74500076
911	1.743759961
912	1.742811223
913	1.741204918
914	1.740988957
915	1.739552012
916	1.737306084
917	1.736474771
918	1.733765134
919	1.729721363
920	1.726595336
921	1.723960219
922	1.722011301
923	1.719890862
924	1.719081087
925	1.717947578
926	1.715789592
927	1.714418631
928	1.714129795
929	1.712705918
930	1.709979348
931	1.707460737
932	1.704853867
933	1.702787952
934	1.700757532
935	1.699004295
936	1.69836502
937	1.698112783
938	1.697053019
939	1.696586732
940	1.695131308
941	1.693109317
942	1.692514277
943	1.690909552
944	1.690665249
945	1.690354579
946	1.689091732
947	1.688069044
948	1.686913095
949	1.68580755
950	1.685487078
951	1.683632336
952	1.682034502
953	1.681431427
954	1.681023498
955	1.679360545
956	1.676608604
957	1.675610495
958	1.675352228
959	1.674172645
960	1.673652587
961	1.673391541
962	1.672162552
963	1.671146891
964	1.670527353
965	1.669172346
966	1.668529994
967	1.6643125
968	1.663168883
969	1.66314604
970	1.661993448
971	1.66079822
972	1.658312349
973	1.657710178
974	1.656432104
975	1.654535606
976	1.653737031
977	1.652674949
978	1.650989111
979	1.648523185
980	1.647123082
981	1.646686118
982	1.645865751
983	1.644197785
984	1.643748508
985	1.642649441
986	1.642319711
987	1.641639538
988	1.639055532
989	1.638426724
990	1.637406901
991	1.636789064
992	1.633670086
993	1.632828996
994	1.631449915
995	1.630311224
996	1.628708805
997	1.62637123
998	1.62528896
999	1.621339344
